item,p/c ratio
tecate light (12 oz),0.00909090909090909
chips and guacamole,0.008695652173913044
corona premier (draft),0.008333333333333333
modelo negra (draft),0.008333333333333333
kona big wave golden ale (12 oz),0.007692307692307693
newcastle brown ale (12 oz),0.007692307692307693
corona light (draft),0.007692307692307693
heineken light (draft),0.007692307692307693
michelob ultra (draft),0.007692307692307693
pabst blue ribbon original (12 oz),0.007142857142857143
pacifico (12 oz),0.007142857142857143
tecate original (12 oz),0.007142857142857143
tecate light (draft),0.007142857142857143
budweiser (12 oz),0.006666666666666667
coors (coors banquet) (12 oz),0.006666666666666667
corona extra (12 oz),0.006666666666666667
landshark lager (12 oz),0.006666666666666667
modelo especial (12 oz),0.006666666666666667
bud light (draft),0.006666666666666667
hash brown,0.00625
cinnamon twists,0.0058823529411764705
patriot ale (12 oz),0.0058823529411764705
newcastle brown ale (draft),0.0058823529411764705
pacifico (draft),0.005263157894736842
tecate original (draft),0.005263157894736842
coors (coors banquet) (draft),0.005
modelo especial (draft),0.005
patriot ale (draft),0.004347826086956522
rose wine (10 fl oz) - lv,0.004166666666666667
mtn dew® kickstart™ orange citrus,0
mtn dew® baja blast freeze™ (16 oz),0
pineapple freeze™ (16 oz),0
pineapple whip freeze™ (16 oz),0
wild strawberry freeze™ (16 oz),0
wild strawberry freeze™ without seeds (16 oz),0
beach berry freeze (16 oz),0
caleb's kola (20 oz),0
ginger mule freeze (20 oz),0
margarita freeze (16 oz),0
party punch freeze (16 oz),0
prosecco sparkling wine (350 ml),0
red wine (6.3 fl oz),0
stubborn soda - classic root beer (20 oz),0
vodka (80 proof),0
barrio blonde (12 oz),0
beach bell beer (12 oz),0
brooklyn lager (12 oz),0
coors light (12 oz),0
corona premier (12 oz),0
dos equis lager especial (12 oz),0
fair winds® howling gail (12 oz),0
fat tire amber ale (12 oz),0
hop commander ipa (12 oz),0
miller genuine draft (12 oz),0
miller high life (12 oz),0
miller lite (12 oz),0
samuel adams® winter lager (12 oz),0
sol cervesa (12 oz),0
stella artois (12 oz),0
victoria (12 oz),0
white claw hard seltzer (12 oz),0
yuengling - black and tan (draft),0
yuengling - golden pilsner (draft),0
yuengling - lager (draft),0
yuengling - light lager (draft),0
yuengling - porter (draft),0
yuengling - premium (draft),0
yuengling - premium light (draft),0
beach berry freeze (32 oz),0
ginger mule freeze (16 oz),0
ginger mule freeze (32 oz),0
margarita freeze (32 oz),0
mtn dew® baja blast freeze™ (20 oz),0
party punch freeze (32 oz),0
rum (80 proof) - single - lv,0
strawberry flavor shot (32 oz) - lv,0
stubborn soda - classic root beer (20 oz) - lv,0
tequila (80 proof) - single - lv,0
vanilla flavor shot (32 oz) - lv,0
vodka (80 proof) - single - lv,0
whiskey (80 proof) - single - lv,0
aquafina® sparkling berry breeze (16 fl oz),0
brisk® unsweetened no lemon iced tea (16 fl oz),0
diet mtn dew® (16 fl oz),0
dr pepper® (16 fl oz),0
mist twst® (16 fl oz),0
mtn dew® baja blast™ (16 fl oz),0
mtn dew® kickstart™ orange citrus (16 fl oz),0
pepsi® (16 fl oz),0
pepsi® zero sugar (16 fl oz),0
aquafina® sparkling berry breeze (20 fl oz),0
brisk® unsweetened no lemon iced tea (20 fl oz),0
diet mtn dew® (20 fl oz),0
dr pepper® (20 fl oz),0
mist twst® (20 fl oz),0
mtn dew® baja blast™ (20 fl oz),0
mtn dew® kickstart™ orange citrus (20 fl oz),0
pepsi® (20 fl oz),0
pepsi® zero sugar (20 fl oz),0
aquafina® sparkling berry breeze (30 fl oz),0
brisk® unsweetened no lemon iced tea (30 fl oz),0
diet mtn dew® (30 fl oz),0
dr pepper® (30 fl oz),0
mist twst® (30 fl oz),0
mtn dew® baja blast™ (30 fl oz),0
mtn dew® kickstart™ orange citrus (30 fl oz),0
pepsi® (30 fl oz),0
pepsi® zero sugar (30 fl oz),0
